order_id_raw,customer_id_raw,amount_raw,order_date_raw,created_at_raw,status
1,101,500000.00,2024-01-15,2024-01-15 08:30:00,SUCCESS
2,102,"2,300,000.00",15/01/2024,2024-01-15T09:45:10,SUCCESS
3,999,150000.00,2024-01-16,2024-01-16 10:00:00,SUCCESS
4,,990000.00,2024-01-17,2024-01-17 11:00:00,SUCCESS
5,103,abc,2024-01-18,2024-01-18 12:00:00,SUCCESS
6,104,99999999999.99,2024-01-19,2024-01-19 13:00:00,SUCCESS
7x,105,450000.00,2024-01-20,2024-01-20 14:00:00,SUCCESS
8,101,300000.00,2024-02-30,2024-02-30 15:00:00,SUCCESS
9,102, 230000.00 ,2024-01-21,2024-01-21 16:00:00,CANCELLED
10,103,150000.00,2024-01-22,not-a-timestamp,SUCCESS
